trend;Скорость реагирования;place_total_fail;place_total_letters;link_numbers;severity;google_rating;place_id;name;place_fail_rel_size;site;rating
0.0;;2.0;132.0;67.0;1.0;5.0;ChIJm3B8sINMtUYRTPc2C-3HsQo;Эколаб ЗАО;0.025974025974025976;http://www.ekolab.ru/;0.341991341991342
1.0;;23.0;155.0;1779.0;1.0;5.0;ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр Интернешнл Лтд;0.022222222222222227;http://www.rb.com/;0.34074074074074073
-1.0;236.0;9.0;57.0;2780.0;0.8271604938271605;4.9;ChIJmRlppFlKtUYRAYZL6rWs5gA;"ОАО ""Нижегородский химико-фармацевтический завод""";0.054054054054054064;http://tpprf.ru/ru/;0.3004048492937382
0.0;;1.0;;;1.0;2.9000000000000004;ChIJmSbw8aY_tUYRMwI1ASuUhxY;"ОАО ""Фармацевтическая фабрика Санкт-Петербурга""";0.02325581395348837;;0.4810852713178295
0.0;;3.0;3.0;40.0;1.0;;ChIJmftiOMpJtUYRUCJqGsDBtXg;с.а. Алкон-Куврер н.в.;0.05263157894736842;http://moiglaza.ru/;0.5175438596491228
0.0;;1.0;64.0;;1.0;;ChIJn-lNRw5LtUYR8gybSDdC-dE;Шеринг-Плау Лабо Н.В.;0.011363636363636364;;0.5037878787878788
0.0;;5.0;10.0;;0.9555555555555556;;ChIJnYaPtiVLtUYRuK3rKkGK2U8;Альфа Вассерманн С.п.А.;0.05;https://www.alfasigma.com.ru/;0.5018518518518519
-1.0;95.0;11.0;8.0;854.0;0.8787878787878788;;ChIJn_8YrSBNtUYRI43H0GseLmU;"ООО ""СИА ИНТЕРНЕЙШНЛ Активные Фармацевтические Субстанции""";0.1111111111111111;https://www.pharmvestnik.ru/;0.4966329966329967
1.0;;6.0;19.0;622.0;1.0;;ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд.;0.011299435028248588;http://www.sunpharma.com/russia;0.5037664783427495
1.0;;24.0;43.0;;1.0;5.0;ChIJn_aYQZxItUYRhC6m01eiNzw;ДАВ Фарм ООО;1.0;http://www.apteki-moscow.ru/directory/page/13/;0.6666666666666666
0.0;;2.0;2.0;;1.0;;ChIJo5zZa5zKSkERl-aVlk3Q1Xs;Талекрис Биотерапьютикс, Инк.;0.03333333333333333;http://www.lifefactor.ru/;0.5111111111111112
0.0;;2.0;175.0;43.0;0.4444444444444444;;ChIJoUk_NHW0SkERMgy3DMTrbDM;"Открытое акционерное общество ""Органика"" (ОАО  ""Органика"")";0.01058201058201058;http://www.organica-nk.ru/;0.318342151675485
